degrees,latitude,longitude,timestamp
29.92,22.3047,39.1036,2022-04-10T21:10:25.000Z
29.88,22.3046833,39.1036167,2022-04-10T22:10:25.000Z
29.84,22.3047,39.1035833,2022-04-10T23:10:25.000Z
29.74,22.3046833,39.1035833,2022-04-11T00:10:25.000Z
29.72,22.3046667,39.1036,2022-04-11T01:10:25.000Z
29.68,22.3046667,39.1036,2022-04-11T02:10:25.000Z
29.64,22.3046667,39.1035667,2022-04-11T03:10:25.000Z
29.62,22.3046667,39.1035833,2022-04-11T04:10:25.000Z
29.74,22.30465,39.1035667,2022-04-11T05:10:25.000Z
30.02,22.30465,39.1036,2022-04-11T06:10:25.000Z
30.22,22.30465,39.1036167,2022-04-11T07:10:25.000Z
30.4,22.3046667,39.1035833,2022-04-11T08:10:25.000Z
30.76,22.3046833,39.1035833,2022-04-11T09:10:25.000Z
30.9,22.3046667,39.1036,2022-04-11T10:10:25.000Z
30.7,22.3046833,39.1036,2022-04-11T11:10:25.000Z
30.7,22.3047,39.1036,2022-04-11T12:10:25.000Z
30.62,22.3047,39.1035833,2022-04-11T13:10:25.000Z
30.54,22.3047,39.1036167,2022-04-11T14:10:25.000Z
30.44,22.3047167,39.1035833,2022-04-11T15:10:25.000Z
30.36,22.3047167,39.1035667,2022-04-11T16:10:25.000Z
30.28,22.3047167,39.1036167,2022-04-11T17:10:25.000Z
30.18,22.3047,39.1035833,2022-04-11T18:10:25.000Z
30.14,22.3047,39.1036167,2022-04-11T19:10:25.000Z
30.12,22.3047,39.1035667,2022-04-11T20:10:25.000Z
30.06,22.3047,39.1035667,2022-04-11T21:10:25.000Z
29.96,22.3046833,39.1035667,2022-04-11T22:10:25.000Z
29.88,22.3046833,39.1035667,2022-04-11T23:10:25.000Z
29.84,22.3046667,39.1035833,2022-04-12T00:10:25.000Z
29.8,22.3046667,39.1035833,2022-04-12T01:10:25.000Z
29.74,22.3046333,39.1036,2022-04-12T02:10:25.000Z
29.68,22.30465,39.1035833,2022-04-12T03:10:25.000Z
29.68,22.3046667,39.1035667,2022-04-12T04:10:25.000Z
29.78,22.30465,39.1035667,2022-04-12T05:10:25.000Z
30.1,22.3046667,39.1036,2022-04-12T06:10:25.000Z
30.3,22.30465,39.1036,2022-04-12T07:10:25.000Z
30.52,22.3046833,39.1035833,2022-04-12T08:10:25.000Z
30.78,22.3046667,39.1035833,2022-04-12T09:10:25.000Z
30.9,22.3046833,39.1035833,2022-04-12T10:10:25.000Z
30.88,22.3046,39.10355,2022-04-12T11:10:25.000Z
30.86,22.3047,39.10355,2022-04-12T12:10:25.000Z
30.8,22.3046833,39.10355,2022-04-12T13:10:25.000Z
30.7,22.3046833,39.1036,2022-04-12T14:10:25.000Z
30.64,22.3046833,39.1035833,2022-04-12T15:10:25.000Z
30.54,22.3047333,39.1035833,2022-04-12T16:10:25.000Z
30.52,22.3046833,39.1036167,2022-04-12T17:10:25.000Z
30.5,22.3046833,39.1036,2022-04-12T18:10:25.000Z
30.48,22.3047,39.10355,2022-04-12T19:10:25.000Z
30.44,22.3047,39.10355,2022-04-12T20:10:25.000Z
30.38,22.3047,39.1035833,2022-04-12T21:10:25.000Z
30.34,22.3046667,39.1036,2022-04-12T22:10:25.000Z
30.28,22.3046833,39.1035833,2022-04-12T23:10:25.000Z
30.24,22.3046667,39.1036,2022-04-13T00:10:25.000Z
30.18,22.3046833,39.1036,2022-04-13T01:10:25.000Z
30.18,22.3046667,39.1036,2022-04-13T02:10:25.000Z
30.12,22.3046667,39.1035833,2022-04-13T03:10:25.000Z
30.16,22.30465,39.10355,2022-04-13T04:10:25.000Z
30.28,22.3046667,39.1035833,2022-04-13T05:10:25.000Z
30.44,22.3046667,39.1036,2022-04-13T06:10:25.000Z
30.68,22.30465,39.1036,2022-04-13T07:10:25.000Z
30.84,22.3046667,39.1035833,2022-04-13T08:10:25.000Z
30.92,22.3046667,39.10355,2022-04-13T09:10:25.000Z
30.9,22.3046833,39.1035833,2022-04-13T10:10:25.000Z
31.02,22.30465,39.1035667,2022-04-13T11:10:25.000Z
31.02,22.3046667,39.1035667,2022-04-13T12:10:25.000Z
30.92,22.3046833,39.1035667,2022-04-13T13:10:25.000Z
30.9,22.3047167,39.1036,2022-04-13T14:10:25.000Z
30.72,22.3047167,39.1035833,2022-04-13T15:10:25.000Z
30.68,22.3047167,39.10355,2022-04-13T16:10:25.000Z
30.58,22.3047167,39.1036,2022-04-13T17:10:25.000Z
30.56,22.3047167,39.1035667,2022-04-13T18:10:25.000Z
30.5,22.3046833,39.1035667,2022-04-13T19:10:25.000Z
30.46,22.3047,39.1035833,2022-04-13T20:10:25.000Z
30.38,22.3046667,39.1036,2022-04-13T21:10:25.000Z
30.34,22.3046667,39.1035833,2022-04-13T22:10:25.000Z
30.3,22.3046833,39.1036,2022-04-13T23:10:25.000Z
30.3,22.3046667,39.1036,2022-04-14T00:10:25.000Z
30.04,22.3046333,39.1035833,2022-04-14T01:10:25.000Z
30.08,22.30465,39.1036,2022-04-14T02:10:25.000Z
30.04,22.30465,39.1035833,2022-04-14T03:10:25.000Z
30.08,22.3046667,39.1035833,2022-04-14T04:10:25.000Z
30.12,22.30465,39.1035667,2022-04-14T05:10:25.000Z
30.28,22.3046667,39.1036,2022-04-14T06:10:25.000Z
30.36,22.3046667,39.1035833,2022-04-14T07:10:25.000Z
30.5,22.3046667,39.1035833,2022-04-14T08:10:25.000Z
30.62,22.3046833,39.1035833,2022-04-14T09:10:25.000Z
30.68,22.3046833,39.1035833,2022-04-14T10:10:25.000Z
30.76,22.3047,39.10355,2022-04-14T11:10:25.000Z
